Datetime,X,Y,Device
2021-09-05 07:10:22,568.0,256.65,2
2021-09-05 07:10:32,580.8,269.45,1
2021-09-05 07:10:32,560.0,250.25,2
2021-09-05 07:10:42,576.0,267.85,1
2021-09-05 07:10:52,592.0,271.05,1
2021-09-05 07:10:52,572.8,251.85,2
2021-09-05 07:11:02,588.8,259.85,1
2021-09-05 07:11:02,560.0,259.85,2
2021-09-05 07:11:12,593.6,263.05,1
2021-09-05 07:11:22,585.6,251.85,1
2021-09-05 07:11:22,585.6,243.85,2
2021-09-05 07:19:10,558.4,282.25,1
2021-09-05 07:19:10,537.6,267.85,2
2021-09-05 07:19:12,547.2,271.05,1
2021-09-05 07:19:12,537.6,264.65,2
2021-09-05 07:19:14,534.4,258.25,1
2021-09-05 07:19:14,537.6,271.05,2
2021-09-05 07:19:16,545.6,259.85,1
2021-09-05 07:19:16,531.2,266.25,2
2021-09-05 07:19:18,537.6,264.65,1
2021-09-05 07:19:18,534.4,258.25,2
2021-09-05 07:19:20,542.4,267.85,1
2021-09-05 07:19:20,531.2,261.45,2
2021-09-05 07:19:22,539.2,266.25,1
2021-09-05 07:19:22,528.0,259.85,2
2021-09-05 07:19:24,542.4,272.65,1
2021-09-05 07:19:24,528.0,259.85,2
2021-09-05 07:19:26,542.4,264.65,1
2021-09-05 07:19:26,528.0,264.65,2
2021-09-05 07:19:28,539.2,271.05,1
2021-09-05 07:19:28,531.2,266.25,2
2021-09-05 07:19:30,539.2,272.65,1
2021-09-05 07:19:30,529.6,264.65,2
2021-09-05 07:19:32,539.2,264.65,1
2021-09-05 07:19:32,529.6,263.05,2
2021-09-05 07:19:34,537.6,271.05,1
2021-09-05 07:19:34,532.8,263.05,2
2021-09-05 07:19:36,540.8,269.45,1
2021-09-05 07:19:36,537.6,282.25,2
2021-09-05 07:19:38,544.0,277.45,1
2021-09-05 07:19:38,537.6,277.45,2
2021-09-05 07:19:40,545.6,275.85,1
2021-09-05 07:19:40,531.2,272.65,2
2021-09-05 07:19:42,542.4,271.05,1
2021-09-05 07:19:42,532.8,266.25,2
2021-09-05 07:19:44,537.6,274.25,1
2021-09-05 07:19:44,540.8,277.45,2
2021-09-05 07:19:46,531.2,272.65,2
2021-09-05 07:19:48,550.4,290.25,1
2021-09-05 07:19:48,539.2,279.05,2
2021-09-05 07:19:50,548.8,280.65,1
2021-09-05 07:19:50,537.6,280.65,2
2021-09-05 07:19:52,545.6,280.65,1
2021-09-05 07:19:52,532.8,272.65,2
